le2m | 19/12/2015 - 10:33:38 | INFO | run_step: Décision
le2m | 19/12/2015 - 10:33:38 | INFO | DÉCISION
le2m | 19/12/2015 - 10:33:38 | INFO | Dim-Latitude-E6520 (j2): 5
le2m | 19/12/2015 - 10:33:38 | INFO | Dim-Latitude-E6520 (j3): 1
le2m | 19/12/2015 - 10:33:38 | INFO | Dim-Latitude-E6520 (j1): 0
le2m | 19/12/2015 - 10:33:49 | INFO | Dim-Latitude-E6520 (j0): 7
le2m | 19/12/2015 - 10:33:49 | INFO | Ok Décision
le2m | 19/12/2015 - 10:33:49 | INFO | Somme des décisions
le2m | 19/12/2015 - 10:33:49 | INFO | G0: 13
le2m | 19/12/2015 - 10:33:49 | INFO | Calcul des gains de la période pour la partie CommonPoolResource
le2m | 19/12/2015 - 10:33:49 | INFO | GAINS
le2m | 19/12/2015 - 10:33:49 | INFO | Dim-Latitude-E6520 (j2): 41.83
le2m | 19/12/2015 - 10:33:49 | INFO | Dim-Latitude-E6520 (j3): 29.83
le2m | 19/12/2015 - 10:33:49 | INFO | Dim-Latitude-E6520 (j0): 47.83
le2m | 19/12/2015 - 10:33:49 | INFO | Dim-Latitude-E6520 (j1): 26.83
le2m | 19/12/2015 - 10:33:49 | INFO | run_step: Récapitulatif
le2m | 19/12/2015 - 10:33:49 | INFO | RÉCAPITULATIF
le2m | 19/12/2015 - 10:33:49 | INFO | Dim-Latitude-E6520 (j2): Ok
le2m | 19/12/2015 - 10:33:49 | INFO | Dim-Latitude-E6520 (j3): Ok
le2m | 19/12/2015 - 10:33:49 | INFO | Dim-Latitude-E6520 (j1): Ok
le2m | 19/12/2015 - 10:33:51 | INFO | Dim-Latitude-E6520 (j0): Ok
le2m | 19/12/2015 - 10:33:51 | INFO | Ok Récapitulatif
le2m | 19/12/2015 - 10:33:51 | INFO | Moyenne de la période
le2m | 19/12/2015 - 10:33:51 | INFO | 201512191008_g_0    3.25
le2m | 19/12/2015 - 10:33:51 | INFO | Période 4
le2m | 19/12/2015 - 10:33:51 | INFO | Période 4
le2m | 19/12/2015 - 10:33:51 | INFO | run_func: newperiod
le2m | 19/12/2015 - 10:33:51 | INFO | Dim-Latitude-E6520 (j0) Ready for period 4
le2m | 19/12/2015 - 10:33:51 | INFO | Dim-Latitude-E6520 (j2) Ready for period 4
le2m | 19/12/2015 - 10:33:51 | INFO | Dim-Latitude-E6520 (j3) Ready for period 4
le2m | 19/12/2015 - 10:33:51 | INFO | Dim-Latitude-E6520 (j1) Ready for period 4
le2m | 19/12/2015 - 10:33:51 | INFO | run_step: Décision
le2m | 19/12/2015 - 10:33:51 | INFO | DÉCISION
le2m | 19/12/2015 - 10:33:51 | INFO | Dim-Latitude-E6520 (j2): 10
le2m | 19/12/2015 - 10:33:51 | INFO | Dim-Latitude-E6520 (j3): 4
le2m | 19/12/2015 - 10:33:51 | INFO | Dim-Latitude-E6520 (j1): 6
le2m | 19/12/2015 - 10:33:57 | INFO | Dim-Latitude-E6520 (j0): 8
le2m | 19/12/2015 - 10:33:57 | INFO | Ok Décision
le2m | 19/12/2015 - 10:33:57 | INFO | Somme des décisions
le2m | 19/12/2015 - 10:33:57 | INFO | G0: 28
le2m | 19/12/2015 - 10:33:57 | INFO | Calcul des gains de la période pour la partie CommonPoolResource
le2m | 19/12/2015 - 10:33:57 | INFO | GAINS
le2m | 19/12/2015 - 10:33:57 | INFO | Dim-Latitude-E6520 (j2): 45.3
le2m | 19/12/2015 - 10:33:57 | INFO | Dim-Latitude-E6520 (j3): 27.3
